,NAME,Brand,MC,ZONE,Price_Range
0,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,EAST,79.69090909 - 95.25568182
1,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,NORTH,79.69090909 - 95.25568182
2,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,SOUTH,79.69090909 - 95.25568182
3,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,WEST,79.69090909 - 95.25568182
4,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,EAST,74.95220588 - 95.0
5,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,NORTH,74.95220588 - 95.0
6,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,SOUTH,74.95220588 - 95.0
7,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,WEST,74.95220588 - 95.0
8,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,EAST,38.0 - 45.20852625
9,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,NORTH,38.0 - 45.20852625
10,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,38.0 - 45.20852625
11,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,WEST,38.0 - 45.20852625
12,1014RAW RICE BG 25Kg,COP UNBRANDED,Other Raw Rice,EAST,976.0 - 998.05
13,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,EAST,40.62456901 - 50.0
14,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,40.62456901 - 50.0
15,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,40.62456901 - 50.0
16,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,WEST,40.62456901 - 50.0
17,1121 RAW TIBAR BASMATI RICE LOOSE,COP LOOSE,Basmati Tibar Rice,WEST,61.23839813 - 65.99982765
18,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,EAST,489.0188679 - 986.0048426
19,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,SOUTH,489.0188679 - 986.0048426
20,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,WEST,489.0188679 - 986.0048426
21,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,EAST,215.0 - 283.845515
22,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,NORTH,215.0 - 283.845515
23,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,SOUTH,215.0 - 283.845515
24,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,WEST,215.0 - 283.845515
25,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,EAST,211.7666667 - 302.5
26,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,NORTH,211.7666667 - 302.5
27,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,SOUTH,211.7666667 - 302.5
28,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,WEST,211.7666667 - 302.5
29,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,EAST,91.125 - 152.5733064
30,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,NORTH,91.125 - 152.5733064
31,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,SOUTH,91.125 - 152.5733064
32,AGRIPURE ATTA SAMPOORNA PP 5kg,AGRI PURE,Wheat Flour,WEST,91.125 - 152.5733064
33,AGRIPURE MATTA UNDA RICE 10kg,AGRI PURE,Double Boiled Rice,SOUTH,430.2026432 - 463.2
34,AGRIPURE MATTA UNDA RICE 5kg,AGRI PURE,Double Boiled Rice,SOUTH,229.3294118 - 287.5
35,AGRIPURE MATTA VADI RICE 5kg,AGRI PURE,Double Boiled Rice,SOUTH,246.96 - 269.8378378
36,AGRIPURE PONNI BOILED SUPREME RICE 10Kg,AGRI PURE,Single Boiled Rice,SOUTH,609.8169492 - 609.8169492
37,AGRIPURE PONNI RAW PREMIUM RICE 10Kg,AGRI PURE,Ponny Raw Rice,SOUTH,539.7877629 - 539.7877629
38,AGRIPURE RICE BOILED MINIKET 10Kg,AGRI PURE,Single Boiled Rice,EAST,421.5115942 - 488.5714286
39,AGRIPURE RICE BOILED RATNA 10Kg,AGRI PURE,Double Boiled Rice,EAST,338.0958904 - 359.3489362
40,AGRIPURE RICE GOVINDBHOG 10kg,AGRI PURE,Fragrant Raw Rice,EAST,736.0470588 - 756.0701754
41,AGRIPURE RICE SONA MASOORI CLASSIC 10Kg,AGRI PURE,Steam Rice,SOUTH,240.0 - 555.2911814
42,AGRIPURE RICE SONA MASOORI PREMIUM 10Kg,AGRI PURE,Sona Masoori Raw Ric,SOUTH,516.0 - 565.0707965
43,AGRIPURE RICE SONA MASOORI STANDRD 10Kg,AGRI PURE,Steam Rice,SOUTH,220.0 - 509.4666667
