,Unnamed: 0,NAME,Brand,MC,ZONE,Price_Range
0,5743,SANGIS KITCHEN PANCH PHORAN PP 50g,'SANGI''S KITCHEN',Panch Phoron Whole,EAST,20.39473684 - 36.33333333
1,5744,SANGIS KITCHEN PANCH PHORAN PP 50g,'SANGI''S KITCHEN',Panch Phoron Whole,NORTH,20.39473684 - 36.33333333
2,5745,SANGIS KITCHEN PANCH PHORAN PP 50g,'SANGI''S KITCHEN',Panch Phoron Whole,SOUTH,20.39473684 - 36.33333333
3,5746,SANGIS KITCHEN PANCH PHORAN PP 50g,'SANGI''S KITCHEN',Panch Phoron Whole,WEST,20.39473684 - 36.33333333
4,2820,GH TUR DAL PREM 500g,GOLDEN HARVEST,Toor Dal,EAST,37.29014308 - 58.78378378
5,2821,GH TUR DAL PREM 500g,GOLDEN HARVEST,Toor Dal,NORTH,37.29014308 - 58.78378378
6,2822,GH TUR DAL PREM 500g,GOLDEN HARVEST,Toor Dal,SOUTH,37.29014308 - 58.78378378
7,2823,GH TUR DAL PREM 500g,GOLDEN HARVEST,Toor Dal,WEST,37.29014308 - 58.78378378
8,3565,GOLDEN HARVEST CHAKKI FRESH ATTA PP 1K,GOLDEN HARVEST,Wheat Flour,EAST,23.86578947 - 46.18256131
9,3566,GOLDEN HARVEST CHAKKI FRESH ATTA PP 1K,GOLDEN HARVEST,Wheat Flour,NORTH,23.86578947 - 46.18256131
10,3567,GOLDEN HARVEST CHAKKI FRESH ATTA PP 1K,GOLDEN HARVEST,Wheat Flour,SOUTH,23.86578947 - 46.18256131
11,3568,GOLDEN HARVEST CHAKKI FRESH ATTA PP 1K,GOLDEN HARVEST,Wheat Flour,WEST,23.86578947 - 46.18256131
12,526,DESI ATTA CO MEDU VADA MIX PP 200g,DESI ATTA,South Indian Mixes,EAST,67.58461538 - 82.0
13,527,DESI ATTA CO MEDU VADA MIX PP 200g,DESI ATTA,South Indian Mixes,NORTH,67.58461538 - 82.0
14,528,DESI ATTA CO MEDU VADA MIX PP 200g,DESI ATTA,South Indian Mixes,SOUTH,67.58461538 - 82.0
15,529,DESI ATTA CO MEDU VADA MIX PP 200g,DESI ATTA,South Indian Mixes,WEST,67.58461538 - 82.0
16,4486,MOTHER EARTH HAND POUNDED RICE 1Kg,MOTHER EARTH,Other Raw Rice,EAST,82.65822785 - 105.0
